state,sa4,geometry
NSW,Sydney - North Sydney and Hornsby,"MULTIPOLYGON (((151.21054919100004 -33.794698110999946, 151.21111638700006 -33.794519100999935, 151.21125343800009 -33.79465510299997, 151.21135172700008 -33.79468924799994, 151.21171577400003 -33.79481559499993, 151.211919748 -33.79488644799994, 151.21210694400008 -33.794951724999976, 151.212350495 -33.79503642499998, 151.21253329800004 -33.79509981899997, 151.2127131420001 -33.79516246899993, 151.21290177100002 -33.79522735099994, 151.21306424300008 -33.79528388699998, 151.21308269100007 -33.79529030499998, 151.21326072400007 -33.79535211999996, 151.21334910100006 -33.795382598999936, 151.21349671100006 -33.79540132499994, 151.21363258600002 -33.795418463999965, 151.21398404600006 -33.79546246099994, 151.2142142140001 -33.79549153099998, 151.21446118900008 -33.79552233199996, 151.21471798000005 -33.79555479099997, 151.21497722100003 -33.795587169999976, 151.21524098500004 -33.795620301999975, 151.21529703600004 -33.79562746399995, 151.21551617900002 -33.79556104999995, 151.2157772380001 -33.795482239999956, 151.2160147190001 -33.79541033199996, 151.2160289090001 -33.79539683199994, 151.21614731400007 -33.79528394999994, 151.21620470100004 -33.79522925099997, 151.2163762460001 -33.79506592799993, 151.21594211100012 -33.79487174899998, 151.21602246300006 -33.79468486799993, 151.21604527600005 -33.794414253999946, 151.21600982400003 -33.79416722299993, 151.2162991450001 -33.79406311699995, 151.21647880000012 -33.79369123499998, 151.21654955200006 -33.79354435099998, 151.2166796460001 -33.79340813399995, 151.21681650800008 -33.79327086899997, 151.21609613500004 -33.79276246499995, 151.2154450810001 -33.79234774399998, 151.2147180930001 -33.792280277999964, 151.2145992840001 -33.79214831899998, 151.2145193440001 -33.792058974999975, 151.21448378200012 -33.79198673399998, 151.21442220100005 -33.79186057299995, 151.21434094200004 -33.79169449799997, 151.214357865 -33.79156933399997, 151.2143931920001 -33.791307539999934, 151.2143717230001 -33.79125880299995, 151.2143139320001 -33.79112630499998, 151.21414837600003 -33.790984735999984, 151.21409741600007 -33.79094088499994, 151.21381959600012 -33.79086018999993, 151.21373755800005 -33.79087291099995, 151.21345053100003 -33.79091668099994, 151.21335137200003 -33.79096911099998, 151.21332584300012 -33.79100956599996, 151.2132438310001 -33.791139999999984, 151.21319638500006 -33.79117988099995, 151.21311098500007 -33.791252175999944, 151.21303629800002 -33.791284840999936, 151.21292960800008 -33.79133192799998, 151.21288206300005 -33.791343850999965, 151.21274515700009 -33.79137918599997, 151.21269322900002 -33.79138565799997, 151.21250089700004 -33.79141113399993, 151.2122622500001 -33.79144301799994, 151.21214721500007 -33.791458372999955, 151.2119869290001 -33.791424802999984, 151.21178749900002 -33.79138324499996, 151.2117658960001 -33.791369807999956, 151.21174959100006 -33.79135989399998, 151.21149111400007 -33.79120118499998, 151.2112836340001 -33.79107379799996, 151.21106020700006 -33.79093613699996, 151.21182272600004 -33.78995710999993, 151.21184441100002 -33.790022815999976, 151.2118715800001 -33.79010392099997, 151.2118620330001 -33.790182382999944, 151.21186223100005 -33.79027434499994, 151.211841928 -33.790375350999966, 151.21184744000004 -33.79043484599998, 151.211918856 -33.790495154999974, 151.21197726600008 -33.79054465499996, 151.21201851800004 -33.79064738099993, 151.21208241400007 -33.79073382299998, 151.212136546 -33.79079596999998, 151.21216147600012 -33.79084461699995, 151.21213764000004 -33.79090140399995, 151.21220537200008 -33.79088252599996, 151.2122571750001 -33.790868030999945, 151.21235111800002 -33.790869688999976, 151.21249585900011 -33.79089201099998, 151.21264059100008 -33.79090531399993, 151.21280685600004 -33.79088884599997, 151.2129040430001 -33.79088869399993, 151.2130184680001 -33.79087319599995, 151.21319539900003 -33.79079450099994, 151.21334743600005 -33.790692382999964, 151.2135922970001 -33.79057120799996, 151.21380580000005 -33.790432032999945, 151.21386732000008 -33.790414812999984, 151.21398818900002 -33.790380365999965, 151.21412744400004 -33.79036122699995, 151.2142579880001 -33.79030422599993, 151.21433805300012 -33.79028260399997, 151.21437617700008 -33.79033680999993, 151.21446599600006 -33.79042051499994, 151.21458281500009 -33.79051320399998, 151.21464666500003 -33.79057532499996, 151.21479914300005 -33.790674269999954, 151.21483607400012 -33.79077789399997, 151.21494090800002 -33.79081650999996, 151.21498527000006 -33.79085971699993, 151.21498209700007 -33.79089218599995, 151.2150297500001 -33.790958831999944, 151.21512290500004 -33.79108762699997, 151.2151122460001 -33.79115164799998, 151.21513503300002 -33.79120481399997, 151.21511371700012 -33.79132926099993, 151.21520143700002 -33.79144634099998, 151.21520058600004 -33.79155182899996, 151.215166102 -33.79158794499995, 151.21512728000005 -33.791609637999954, 151.215110212 -33.79170523799996, 151.2151028710001 -33.79180894399997, 151.21512781800004 -33.79185938399996, 151.21512248400006 -33.79188915299994, 151.2151528270001 -33.791935989999956, 151.21521118300006 -33.79195483199993, 151.21525982100002 -33.79197730499993, 151.21538823100002 -33.791937433999976, 151.21547900000007 -33.791963446999944, 151.21556310900007 -33.792016298999954, 151.2157810320001 -33.79203378899996, 151.2158426860001 -33.792081476999954, 151.2159118610001 -33.79211202699997, 151.2160697700001 -33.79222268799998, 151.21614869000007 -33.79226674599994, 151.21617577000006 -33.792301875999954, 151.21634987700008 -33.792415207999966, 151.21642449400008 -33.79246648199995, 151.216436433 -33.79249351799996, 151.2165456150001 -33.79254744599996, 151.21659759800002 -33.79261768799995, 151.21675331100005 -33.79270851199993, 151.21679011700007 -33.79275533899994, 151.2168366410001 -33.79279494299993, 151.2169306280001 -33.79281193899993, 151.2169760390001 -33.79283891199998, 151.21707010700004 -33.79289286599993, 151.21737600300003 -33.793070900999965, 151.21742666800003 -33.79307801899995, 151.2175551480001 -33.793068812999934, 151.217699809 -33.79304694899997, 151.21788000200002 -33.792984471999944, 151.218070989 -33.792912042999944, 151.21822955200003 -33.79283606399997, 151.2184237570001 -33.79275642899995, 151.21855423600005 -33.79267597699993, 151.21867591300008 -33.79251711499995, 151.21875558400006 -33.79241058799994, 151.21890759600012 -33.79229584799998, 151.21893869200005 -33.79219842799995, 151.21906051200006 -33.79211078599997, 151.2192061400001 -33.792037532999984, 151.21930650900003 -33.79201394099994, 151.2194165960001 -33.791987621999965, 151.2194857180001 -33.79199111799994, 151.21954194900002 -33.792027099999984, 151.219592819 -33.79207931499997, 151.21965009000007 -33.79209725299995, 151.21970415200008 -33.792130535999945, 151.21974543200008 -33.79223234899996, 151.21977037800002 -33.79228730799997, 151.21983092100004 -33.79231606399998, 151.21988496500012 -33.792339424999966, 151.2199078420001 -33.79238630699996, 151.21991750400002 -33.792406090999975, 151.2200029390001 -33.79246456299995, 151.22005169500005 -33.79253660599994, 151.22010794400012 -33.79257710599995, 151.22021172900008 -33.79263193899993, 151.22029280700008 -33.792673288999936, 151.22031236600003 -33.792728256999965, 151.2203200130001 -33.792765205999956, 151.22039353500008 -33.792803866999975, 151.22046708400012 -33.79286146099997, 151.22052120900003 -33.79291636499994, 151.2205634390001 -33.79296858899994, 151.2206078370001 -33.79302441799996, 151.2206684790001 -33.79309646199994, 151.22070747100008 -33.79314869499996, 151.220769108 -33.793190968999966, 151.22086963900006 -33.79323138799998, 151.22091613400005 -33.79326557699994, 151.22103073000005 -33.793319493999945, 151.2211852680001 -33.79336883999997, 151.22130630900006 -33.793413731999976, 151.2213970150001 -33.79341087999995, 151.22147808500006 -33.79344952399998, 151.22153974700007 -33.79349720399995, 151.22166728700006 -33.79354660399997, 151.22177529300006 -33.793559054999946, 151.22184554400008 -33.793578784999966, 151.22194716800004 -33.793636324999966, 151.22206282100012 -33.79367851699993, 151.22219356100004 -33.79371617499993, 151.22230383600004 -33.79377010199994, 151.2223892070001 -33.79379701199997, 151.22243240500006 -33.79379965499993, 151.22246798300012 -33.79381846199993, 151.2224798950001 -33.793874280999944, 151.22252540600005 -33.79394182499993, 151.2225913630001 -33.793983192999974, 151.22267455700012 -33.79399839499996, 151.2227610320001 -33.79403972799997, 151.2228011630001 -33.794103578999966, 151.222811975 -33.79412075399995, 151.22280366500001 -33.79421885599993, 151.22276086300008 -33.79431795299996, 151.22276214500005 -33.79438364199996, 151.22279810800012 -33.79450865399997, 151.2228242650001 -33.794598589999964, 151.222823467 -33.79468588199995, 151.22286886900008 -33.79472986799993, 151.222917509 -33.79477386299993, 151.2229499760001 -33.79481338599993, 151.2229274230001 -33.79484223199995, 151.22285645500006 -33.79489278899996, 151.2228275650001 -33.79496035099993, 151.22280956500003 -33.795062979999955, 151.2227927120001 -33.795187200999976, 151.22276173300008 -33.795277262999946, 151.22275255400007 -33.79528447799993, 151.22265959000003 -33.79535757999997, 151.2226307080001 -33.79542602899994, 151.22256516400012 -33.795490075999965, 151.22256314700007 -33.79553687799995, 151.22254715500003 -33.79559000699993, 151.22248162000005 -33.79565944199993, 151.22240715700002 -33.79569021599997, 151.22234023200008 -33.79570928299995, 151.22228744300003 -33.79576888399998, 151.22217435400012 -33.795910667999976, 151.22205687300004 -33.796015473999944, 151.22195769600012 -33.79610582199996, 151.22185742600004 -33.796185340999955, 151.22180148200005 -33.79628103199997, 151.221700101 -33.796348844999955, 151.22157274900007 -33.79639686399997, 151.2214766830001 -33.796426777999955, 151.22141628300005 -33.796469258999934, 151.22136028700004 -33.79653879199998, 151.22128695300012 -33.79658761899998, 151.22119731200007 -33.796601288999966, 151.2211260680001 -33.796617656999956, 151.2209653530001 -33.79672071599998, 151.2208920370001 -33.79677765599996, 151.22078848600006 -33.79684185699995, 151.220684827 -33.79686007199996, 151.22059189800007 -33.79684579199994, 151.22050659700005 -33.79686126399997, 151.22037580300002 -33.796823588999985, 151.22024505600007 -33.796809381999935, 151.22004074100005 -33.79674297799994, 151.21990789500012 -33.79667246699995, 151.21990014100004 -33.796668343999954, 151.21979190900004 -33.79657924199995, 151.2196058710001 -33.79647222099993, 151.21942970100008 -33.79643553099993, 151.21925031400008 -33.79640425499997, 151.2190979710001 -33.79639007399993, 151.21895214500012 -33.796391211999946, 151.21874592900008 -33.79643664099996, 151.21851489200003 -33.796490217999974, 151.21831297800009 -33.796525722999945, 151.21819746800008 -33.79656198199996, 151.21803669000008 -33.79664070299998, 151.2178628790001 -33.796678862999954, 151.21775821500012 -33.796728637999934, 151.2176621210001 -33.796750429999975, 151.21760917100005 -33.79674059699994, 151.21756594600004 -33.79673254599993, 151.21755861400004 -33.79675605899996, 151.21761619900008 -33.796818250999934, 151.21764110900006 -33.79684796699996, 151.21764662300006 -33.79689576199996, 151.2176532210001 -33.79694535999994, 151.21766629900003 -33.79699673199997, 151.2176545210001 -33.797040951999975, 151.21760382000002 -33.79706898999996, 151.21755959300003 -33.79709791799996, 151.21750457100006 -33.79712686999994, 151.21745926800008 -33.79715579699996, 151.21741721800004 -33.79718743099994, 151.21738489300003 -33.79722806399997, 151.21733531400002 -33.79727683799996, 151.21727813200005 -33.79730849699996, 151.21721231000004 -33.797334761999934, 151.21712916800004 -33.797350224999946, 151.21706979200007 -33.79736564199993, 151.21699744300008 -33.797380199999964, 151.21692619700002 -33.797400152999955, 151.21686145900003 -33.797431822999954, 151.21680967500004 -33.79745894699994, 151.2167730120001 -33.79748967599994, 151.2167039090001 -33.797504224999955, 151.216696683 -33.797504870999944, 151.21663164100005 -33.79751064199996, 151.21656367600008 -33.79751076799994, 151.21649138100008 -33.79750367699995, 151.2164191050001 -33.797500198999956, 151.2163209140001 -33.797493162999956, 151.21623678600008 -33.79749421099996, 151.21615801100006 -33.79748803399997, 151.21608572600007 -33.79748275399993, 151.21600479900007 -33.79747119099994, 151.21592925900006 -33.79746140199995, 151.21585587100003 -33.79744890599994, 151.21578573700003 -33.797438229999955, 151.21571016100006 -33.79741495099995, 151.2156302290001 -33.79737274699994, 151.21555138200006 -33.79733145899996, 151.21547574400006 -33.79727935099993, 151.21541740600003 -33.79724161299998, 151.21533431000012 -33.797230954999975, 151.21529219800004 -33.79721481099995, 151.2152349810001 -33.79719599599997, 151.2151529150001 -33.79716551799993, 151.21501039600003 -33.797109914999965, 151.21496395500003 -33.79708568399997, 151.2148938470001 -33.79709439699997, 151.21485269400011 -33.79707455099998, 151.21477546000006 -33.79703534199996, 151.21472826500008 -33.79701128299996, 151.2146832210001 -33.79698900699998, 151.21462746500004 -33.796972118999975, 151.2145706240001 -33.796944491999966, 151.214493381 -33.79690529299995, 151.2144429770001 -33.79688033699995, 151.21432717100004 -33.79683315799997, 151.2142949260001 -33.79679296399996, 151.2142466560001 -33.79676891299994, 151.21420801200009 -33.79673768299995, 151.21416723400012 -33.796710925999946, 151.21410609200007 -33.79667883399998, 151.2140428140001 -33.796651234999956, 151.21399239200002 -33.79662091899996, 151.21392582600004 -33.79659170499997, 151.21397593500012 -33.79636014699997, 151.213819585 -33.796329938999975, 151.21376437600009 -33.796525935999966, 151.21373250800002 -33.79650128499998, 151.21369557700007 -33.79648681699996, 151.2136760090001 -33.79645782699998, 151.2136414800001 -33.796430862999955, 151.21359727800007 -33.796445706999975, 151.2135767860001 -33.79642161199996, 151.21350328200003 -33.79639109899995, 151.21339732800004 -33.79633089699996, 151.2132589680001 -33.796269851999966, 151.21317565700008 -33.79620419999998, 151.21298642800002 -33.79609456899993, 151.21290101900001 -33.796046943999954, 151.2128027020001 -33.79602369099996, 151.21272913500002 -33.795971546999965, 151.21255832500003 -33.795881710999936, 151.21238753400007 -33.79580539999995, 151.2122101550001 -33.79568312999993, 151.21205442400003 -33.795586955999966, 151.2119257280001 -33.79550335699997, 151.21186841200006 -33.79546470499997, 151.2117570250001 -33.79539098399994, 151.21156984900006 -33.79528384699995, 151.21154508100005 -33.79526967499993, 151.2114012720001 -33.79518699899995, 151.2112715180001 -33.79511242799998, 151.21111588600002 -33.79505049599993, 151.21102511700008 -33.795020016999956, 151.21090511600005 -33.79496074699995, 151.210844564 -33.794922990999964, 151.21073205800008 -33.79483664899993, 151.21063033400003 -33.79474489399996, 151.21054919100004 -33.794698110999946)), ((151.2103369790001 -33.794765204999976, 151.21054919100004 -33.794698110999946, 151.21060696400002 -33.79475829499995, 151.21070001100009 -33.794840171999965, 151.21078329500006 -33.79490673099997, 151.21079956500012 -33.79493194599996, 151.2108330540001 -33.79494180699993, 151.21095416700007 -33.79501912099994, 151.21109030200012 -33.79505764899994, 151.21115300600002 -33.79509089599998, 151.21124165100002 -33.795137625999985, 151.21151502500004 -33.795283962999974, 151.21156058100007 -33.795308345999956, 151.2117789880001 -33.79543869099996, 151.21189252500005 -33.79551060799997, 151.21207309500005 -33.795616662999976, 151.21240620600008 -33.79584505599996, 151.21251537000012 -33.795894447999956, 151.2126569730001 -33.795960915999956, 151.21279538800002 -33.79604721299995, 151.21291532500004 -33.79608308699994, 151.21295320700006 -33.79612176599994, 151.21308942300004 -33.79619185599995, 151.21324406200006 -33.79629073799998, 151.21336728000006 -33.79634549899998, 151.21345915200004 -33.796385020999935, 151.2135283450001 -33.79642457099993, 151.2135756030001 -33.796452331999944, 151.21345892800002 -33.79648833099998, 151.213310126 -33.79653511299995, 151.21294549900006 -33.796329362999984, 151.2122458130001 -33.79595557299996, 151.21179258600012 -33.79568775499996, 151.21128315400006 -33.79533339899996, 151.2111062680001 -33.795284041999935, 151.21103257400011 -33.79526346999995, 151.21081420300004 -33.79520255999995, 151.2103369790001 -33.794765204999976)))"
NSW,Sydney - North Sydney and Hornsby,"MULTIPOLYGON (((151.2107371840001 -33.794141329999945, 151.21102397800007 -33.794427568999936, 151.21111638700006 -33.794519100999935, 151.21054919100004 -33.794698110999946, 151.2103369790001 -33.794765204999976, 151.21081420300004 -33.79520255999995, 151.21103257400011 -33.79526346999995, 151.2111062680001 -33.795284041999935, 151.21128315400006 -33.79533339899996, 151.21179258600012 -33.79568775499996, 151.2122458130001 -33.79595557299996, 151.21294549900006 -33.796329362999984, 151.213310126 -33.79653511299995, 151.21320272000003 -33.796568467999975, 151.2128916150001 -33.796409267999934, 151.21259647600004 -33.79625833099993, 151.21224718500002 -33.796080278999966, 151.21211454600007 -33.79618591099995, 151.2120452260001 -33.796130853999955, 151.21203750900008 -33.79612421999997, 151.21203058800006 -33.79611701299996, 151.21202448400004 -33.79610929499995, 151.2120192760001 -33.796101146999945, 151.2120156730001 -33.796093482999936, 151.21201131600003 -33.79608608799998, 151.2120062340001 -33.796079032999955, 151.21200044300008 -33.79607237199997, 151.21199400700004 -33.796066132999954, 151.21198695100009 -33.79606037899998, 151.21197934200006 -33.79605513499996, 151.21197123800005 -33.79605044699997, 151.2119626870001 -33.79604635099997, 151.21195374100012 -33.79604288099995, 151.21194448000006 -33.79604004799995, 151.21193496900003 -33.796037869999964, 151.21192537900004 -33.79603642699993, 151.2116916430001 -33.795757305999985, 151.211028316 -33.79528370999998, 151.21101119600007 -33.795271483999954, 151.21097389700003 -33.79528370999998, 151.2107403760001 -33.795360261999974, 151.21054403800008 -33.79528388899996, 151.21041497500005 -33.79523368099996, 151.2102439150001 -33.79500678399995, 151.21017829000004 -33.79477068199998, 151.21014991800007 -33.79454445699997, 151.21008674000007 -33.79434449699994, 151.2098839470001 -33.79413579699997, 151.21001045600008 -33.79406056199997, 151.2102097080001 -33.79429584999997, 151.2103042870001 -33.79426608099993, 151.21043471200005 -33.79417886099998, 151.21064403900004 -33.794049547999975, 151.2107371840001 -33.794141329999945)))"
NSW,Sydney - North Sydney and Hornsby,"MULTIPOLYGON (((151.211028316 -33.79528370999998, 151.2116916430001 -33.795757305999985, 151.21192537900004 -33.79603642699993, 151.21191519500007 -33.796035727999936, 151.21190509200005 -33.79603578199993, 151.21189505300003 -33.796036534999985, 151.2118851030001 -33.79603800399997, 151.2118753410001 -33.79604017299994, 151.21187336100002 -33.79604079199993, 151.21186592000004 -33.79604313999994, 151.21175680200008 -33.795961585999976, 151.2113870820001 -33.79568527999993, 151.21125602900008 -33.79558732999993, 151.21110205500008 -33.79547224999993, 151.2109103150001 -33.79551768799996, 151.2108356540001 -33.79545482299994, 151.21081701800006 -33.79539032699995, 151.2107403760001 -33.795360261999974, 151.21097389700003 -33.79528370999998, 151.21101119600007 -33.795271483999954, 151.211028316 -33.79528370999998)))"
NSW,Sydney - North Sydney and Hornsby,"MULTIPOLYGON (((151.21125602900008 -33.79558732999993, 151.2113870820001 -33.79568527999993, 151.21175680200008 -33.795961585999976, 151.21186592000004 -33.79604313999994, 151.21185600600006 -33.79604719099996, 151.2118465850001 -33.79605200499998, 151.21183765700005 -33.79605742899997, 151.21182925800008 -33.79606340799995, 151.2118245250001 -33.79606749499993, 151.21182162000002 -33.79606996899997, 151.21121192700002 -33.79567441399996, 151.2106117070001 -33.795786085999964, 151.21056631300007 -33.79573842399998, 151.21047362600007 -33.795640196999955, 151.21045905100004 -33.79562499399998, 151.2108485000001 -33.79553238799997, 151.2109103150001 -33.79551768799996, 151.21110205500008 -33.79547224999993, 151.21125602900008 -33.79558732999993)))"
NSW,Sydney - North Sydney and Hornsby,"MULTIPOLYGON (((151.21182162000002 -33.79606996899997, 151.211815354 -33.79607724799996, 151.21180992300003 -33.79608492099993, 151.21180517200003 -33.796092907999935, 151.21180111900003 -33.796101163999936, 151.21179791100008 -33.79610963499994, 151.21134076500005 -33.79586965899995, 151.21076451600004 -33.79594716899993, 151.21068531900005 -33.795863821999944, 151.21062025000003 -33.795794995999984, 151.2106117070001 -33.795786085999964, 151.21121192700002 -33.79567441399996, 151.21182162000002 -33.79606996899997)))"
NSW,Sydney - North Sydney and Hornsby,"MULTIPOLYGON (((151.21298316500008 -33.797022796999954, 151.212852891 -33.796881363999944, 151.21352021500002 -33.796534548999944, 151.2135813220001 -33.79657896599997, 151.21298316500008 -33.797022796999954)))"
NSW,Sydney - North Sydney and Hornsby,"MULTIPOLYGON (((151.21352021500002 -33.796534548999944, 151.212852891 -33.796881363999944, 151.21283984000002 -33.79686720099994, 151.2135041240001 -33.79652285199995, 151.21352021500002 -33.796534548999944)))"
NSW,Sydney - North Sydney and Hornsby,"MULTIPOLYGON (((151.2135041240001 -33.79652285199995, 151.21283984000002 -33.79686720099994, 151.21270973700007 -33.79672065699998, 151.21320272000003 -33.796568467999975, 151.213310126 -33.79653511299995, 151.21345892800002 -33.79648833099998, 151.2135041240001 -33.79652285199995)))"
NSW,Sydney - North Sydney and Hornsby,"MULTIPOLYGON (((151.21259647600004 -33.79625833099993, 151.2123819510001 -33.796410170999934, 151.21232779000002 -33.79636054599996, 151.21211454600007 -33.79618591099995, 151.21224718500002 -33.796080278999966, 151.21259647600004 -33.79625833099993)))"
NSW,Sydney - North Sydney and Hornsby,"MULTIPOLYGON (((151.21179791100008 -33.79610963499994, 151.21179574200005 -33.79611820399998, 151.21179472900008 -33.79612690799996, 151.2117947470001 -33.79613564799996, 151.21179580400008 -33.79614434299998, 151.21179803600012 -33.79615291199997, 151.2115399270001 -33.796036138999966, 151.21088832600003 -33.79612269299997, 151.210865226 -33.796053616999984, 151.21080289100007 -33.795987830999934, 151.21077547900006 -33.79595852699998, 151.21076451600004 -33.79594716899993, 151.21134076500005 -33.79586965899995, 151.21179791100008 -33.79610963499994)))"
