gid,gnaf_pid,street_locality_pid,locality_pid,alias_principal,primary_secondary,building_name,lot_number,flat_number,level_number,number_first,number_last,street_name,street_type,street_suffix,address,locality_name,postcode,state,locality_postcode,confidence,legal_parcel_id,mb_2016_code,mb_2021_code,latitude,longitude,geocode_type,reliability,geom,schema
3115,GANSW705858629,NSW2878308,locc9618e9a6979,P,,,1,,,10,,MELNOTTE,AVENUE,,10 MELNOTTE AVENUE,ROSEVILLE,2069,NSW,2069,2,1/105203,10840311000,10840311000,-33.78747783,151.18259512,PROPERTY CENTROID,2,0101000020BB100000E599B8D1D7E562406816D312CCE440C0,gnaf_202402
3120,GANSW705858630,NSW2878308,locc9618e9a6979,P,,,26,,,11,,MELNOTTE,AVENUE,,11 MELNOTTE AVENUE,ROSEVILLE,2069,NSW,2069,2,26/7045,10840312000,10840312000,-33.78716364,151.18320933,PROPERTY CENTROID,2,0101000020BB1000008215D0D9DCE562403E3335C7C1E440C0,gnaf_202402
3123,GANSW705858631,NSW2878308,locc9618e9a6979,P,,,16,,,12,,MELNOTTE,AVENUE,,12 MELNOTTE AVENUE,ROSEVILLE,2069,NSW,2069,2,15/455712,10840311000,10840311000,-33.78737506,151.18254886,PROPERTY CENTROID,2,0101000020BB100000E8F3B470D7E562406A31BAB4C8E440C0,gnaf_202402
3126,GANSW705858632,NSW2878308,locc9618e9a6979,P,,,27,,,13,,MELNOTTE,AVENUE,,13 MELNOTTE AVENUE,ROSEVILLE,2069,NSW,2069,2,27/7045,10840312000,10840312000,-33.7870227,151.18314559,PROPERTY CENTROID,2,0101000020BB1000009DEE2354DCE56240D5DAEA28BDE440C0,gnaf_202402
3130,GANSW705858633,NSW2878308,locc9618e9a6979,P,,,1,,,14,,MELNOTTE,AVENUE,,14 MELNOTTE AVENUE,ROSEVILLE,2069,NSW,2069,2,1/963791,10840311000,10840311000,-33.7872725,151.18250184,PROPERTY CENTROID,2,0101000020BB1000005048190ED7E5624024456458C5E440C0,gnaf_202402
3133,GANSW705858634,NSW2878308,locc9618e9a6979,P,,,28,,,15,,MELNOTTE,AVENUE,,15 MELNOTTE AVENUE,ROSEVILLE,2069,NSW,2069,2,28/7045,10840312000,10840312000,-33.78688252,151.18308251,PROPERTY CENTROID,2,0101000020BB1000006D1DDACFDBE56240D7980091B8E440C0,gnaf_202402
3140,GANSW705858637,NSW2878308,locc9618e9a6979,P,,,1,,,17,,MELNOTTE,AVENUE,,17 MELNOTTE AVENUE,ROSEVILLE,2069,NSW,2069,2,1/955990,10840312000,10840312000,-33.78673909,151.18302025,PROPERTY CENTROID,2,0101000020BB1000002F88484DDBE562407404D3DDB3E440C0,gnaf_202402
3143,GANSW705858639,NSW2830117,loc99a5db2a404b,P,,,4,,,37,,BABBAGE,ROAD,,37 BABBAGE ROAD,ROSEVILLE CHASE,2069,NSW,2069,2,4/19155,10421870000,10421870000,-33.77712192,151.19569676,PROPERTY CENTROID,2,0101000020BB1000004304DA2543E66240CEB327BB78E340C0,gnaf_202402
3147,GANSW705858640,NSW2830117,loc99a5db2a404b,P,,,5,,,39,,BABBAGE,ROAD,,39 BABBAGE ROAD,ROSEVILLE CHASE,2069,NSW,2069,2,5/19155,10421870000,10421870000,-33.77707646,151.19590666,PROPERTY CENTROID,2,0101000020BB10000098380BDE44E662408218CF3D77E340C0,gnaf_202402
3151,GANSW705858641,NSW2830117,loc99a5db2a404b,P,,,767,,,40,,BABBAGE,ROAD,,40 BABBAGE ROAD,ROSEVILLE CHASE,2069,NSW,2069,2,B/389424,10421950000,10421950000,-33.77431317,151.20343654,PROPERTY CENTROID,2,0101000020BB10000091C3588D82E662408C01A7B11CE340C0,gnaf_202402
3157,GANSW705858642,NSW2830117,loc99a5db2a404b,P,,,6,,,41,,BABBAGE,ROAD,,41 BABBAGE ROAD,ROSEVILLE CHASE,2069,NSW,2069,2,6/19155,10421870000,10421870000,-33.77692075,151.19592192,PROPERTY CENTROID,2,0101000020BB10000006DF0BFE44E66240BA6A9E2372E340C0,gnaf_202402
3160,GANSW705858644,NSW2882523,locc9618e9a6979,P,,,11,,,472,,PENSHURST,STREET,,472 PENSHURST STREET,ROSEVILLE,2069,NSW,2069,2,11/9236,10839070000,10839070000,-33.78456074,151.19152491,PROPERTY CENTROID,2,0101000020BB100000381AD9F820E662404603807C6CE440C0,gnaf_202402
