address,suburb,postcode,state,orientation,gnaf_pid,property_centroid_x,property_centroid_y,property_area,property_perimeter,nearest_point_x,nearest_point_y,angle_to_road,road_id,distance_to_road
Unknown Address (ID: 0),,,,South,,334993.09596634266,6259184.11726702,346084.8863873998,4735.011388248491,334897.7316886054,6258907.384137679,-109.0143290106779,19,0.0
83A SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,South,GANSW704366658,334413.0558170495,6259070.430061519,1675.3928054138257,291.6504299530296,334411.97163677315,6259066.950697123,-107.3071892061487,3,0.0
81 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Southwest,GANSW704366657,334389.46298921644,6259059.413043053,1982.2097502200306,313.16898098104787,334389.33129009366,6259059.216166284,-123.78022346781515,3,0.0
79 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Northeast,GANSW704366654,334397.60806760954,6259041.956755078,1684.3960194249644,260.2323832071565,334402.9628589555,6259050.214148231,57.03721698099047,3,0.0
106 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Southwest,GANSW704349170,334589.4230736279,6258940.764237808,992.3742570046495,174.18035725578977,334557.22288071807,6258915.071482035,-141.41339229099657,22,10.199746034444722
108 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Southwest,GANSW704349171,334577.5007382837,6258952.399784885,913.7233833237674,172.31292116841843,334546.9125231661,6258927.993237299,-141.4133922907395,22,10.211377804922382
114 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Southwest,GANSW704348501,334510.6424634404,6258999.884398449,760.5236987198145,116.01907027849145,334495.8515582209,6258984.555821225,-133.9773043088976,22,10.311524583463468
77 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Northeast,GANSW704366653,334404.73451035056,6259024.62201434,1392.864068955758,220.18532135142829,334417.32617042254,6259042.2959640585,54.5323407094275,3,0.0
75 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,East,GANSW704366652,334416.45908439107,6259006.640024735,1514.1770911525946,197.60133055907522,334436.587370157,6259007.953742935,3.734242551825121,3,0.0
73 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Northeast,GANSW704355829,334423.08132032433,6258986.8434294015,1726.7278923447327,202.3419777657562,334437.13713618356,6258999.530439004,42.06992661245999,3,0.05283667114861188
71 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Southeast,GANSW704366648,334467.33963146945,6258976.670800671,1308.1770447722581,149.40536261518523,334474.6454048332,6258961.215994896,-64.69902990384226,5,3.057486642112646
112 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Southwest,GANSW704340910,334535.6879199393,6258981.778977087,769.1799386712021,115.89301910402266,334516.9135118507,6258963.499347244,-135.7650183950953,22,10.043716434757501
110 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Southwest,GANSW704340909,334557.5522503013,6258964.766697427,1074.4950137068017,143.5796058487029,334533.7446783978,6258944.158567777,-139.1201297719868,22,10.26513202424871
69 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Northwest,GANSW704366645,334482.2672480521,6258953.466686838,1050.1337629383802,152.27023400968227,334477.8809764171,6258962.745509602,115.30097009583575,5,0.0
67 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Northeast,GANSW704366644,334492.1989506965,6258936.942056005,1282.1494172132575,171.30260963481322,334519.52007571084,6258960.591560825,40.87987022765448,22,4.903661321870152
11 THE LEE,MIDDLE COVE,2068,NSW,Southeast,GANSW706384930,334432.1198870959,6258953.626151824,803.3561386251839,123.43362654491688,334439.92366319604,6258941.59922226,-57.02213193699495,5,3.5871098048097405
9 THE LEE,MIDDLE COVE,2068,NSW,Southeast,GANSW706436856,334412.85032963025,6258956.3820318505,744.2255591535412,127.50862964373538,334427.6216457168,6258933.616953013,-57.02213193629375,5,11.023688440016477
7 THE LEE,MIDDLE COVE,2068,NSW,Northeast,GANSW706385155,334394.8209681042,6258952.569883034,716.1963076521513,122.35375324021794,334468.8667016075,6259009.643516193,37.62463843555503,22,73.2675824581284
7 COVELEE CIRCUIT,MIDDLE COVE,2068,NSW,East,GANSW705360117,334357.2269393772,6258994.437747865,734.018272083602,121.97838088685346,334468.8667016075,6259009.643516193,7.7561793342105325,22,89.79510699607357
9 COVELEE CIRCUIT,MIDDLE COVE,2068,NSW,East,GANSW705360119,334350.8756200149,6259009.871139686,767.30176699736,124.75016180435898,334468.8667016075,6259009.643516193,-0.11053250027037907,22,93.47244594789304
11 COVELEE CIRCUIT,MIDDLE COVE,2068,NSW,East,GANSW705360120,334340.58628992393,6259023.837495481,757.6051542782917,126.42828368293155,334468.8667016075,6259009.643516193,-6.313983352813458,22,102.84075501684383
355 EDINBURGH ROAD,CASTLECRAG,2068,NSW,East,GANSW704357629,336060.2650120918,6259129.190282986,604.8593440609467,127.7004969803441,336086.5924013394,6259125.043657969,-8.95068864252539,11,4.016416282521539
306 EDINBURGH ROAD,CASTLECRAG,2068,NSW,West,GANSW710641491,336146.59426678345,6259074.57644185,1178.1777342280527,221.4560510525119,336112.1240600513,6259073.40060239,-178.04629760222807,11,9.098232505178093
308 EDINBURGH ROAD,CASTLECRAG,2068,NSW,Northeast,GANSW704366628,336170.2747255644,6259083.876502502,1319.637600053362,213.29478552765303,336181.28011049516,6259105.820891874,63.36566422552028,7,12.816893293977028
343 EDINBURGH ROAD,CASTLECRAG,2068,NSW,West,GANSW704355037,336090.2934302703,6259074.431413979,701.4559838853634,107.89105801355407,336078.5638948042,6259076.290723715,170.99269115262808,11,0.23803562841499493
341 EDINBURGH ROAD,CASTLECRAG,2068,NSW,East,GANSW704355036,336046.16172695125,6259074.375416934,1336.395545946522,224.68919716987193,336077.99869016337,6259072.725105921,-2.967346505558143,11,0.0
339A EDINBURGH ROAD,CASTLECRAG,2068,NSW,East,GANSW715840331,336020.315730943,6259078.38405894,218.86836182847864,60.10960583101935,336077.99869016337,6259072.725105921,-5.603039443396311,11,47.886001813263135
349 EDINBURGH ROAD,CASTLECRAG,2068,NSW,East,GANSW710652709,336052.5287722231,6259090.455279983,653.6582965235475,136.7390047355945,336080.1234413406,6259085.60939591,-9.960122098384714,11,3.263314771643287
345 EDINBURGH ROAD,CASTLECRAG,2068,NSW,West,GANSW704355038,336095.8212192314,6259105.61517975,564.2682486730909,96.77016741718745,336083.8515378734,6259107.45179364,171.27663752578187,11,2.186555014790771
351 EDINBURGH ROAD,CASTLECRAG,2068,NSW,East,GANSW710641493,336055.96988950315,6259102.842335978,633.0553612839104,131.11623041834065,336082.33659396274,6259098.212094077,-9.960122098053162,11,3.359787858022584
353 EDINBURGH ROAD,CASTLECRAG,2068,NSW,East,GANSW704357628,336058.2517456972,6259116.01501799,595.9590060034312,127.55414642559211,336084.5464014398,6259111.980396806,-8.72336247528961,11,3.7473986226651
375 EDINBURGH ROAD,CASTLECRAG,2068,NSW,Southwest,GANSW704357637,336182.55537490017,6259117.952466394,906.5886768346784,155.56718988648606,336177.4376695863,6259107.747923908,-116.63433577433528,7,1.808265038841497
373 EDINBURGH ROAD,CASTLECRAG,2068,NSW,South,GANSW704357636,336159.86993339553,6259137.053662363,683.3556607227844,113.81264879344124,336151.82895264064,6259116.934401875,-111.78490149540745,6,3.3106912961433146
369 EDINBURGH ROAD,CASTLECRAG,2068,NSW,Southwest,GANSW704357634,336125.13082866673,6259156.066270735,843.6691157866778,164.49860851041228,336113.65129924554,6259131.630490887,-115.16336974168523,11,2.720429925229275
369B EDINBURGH ROAD,CASTLECRAG,2068,NSW,Southwest,GANSW718541741,336125.13082866673,6259156.066270735,843.6691157866778,164.49860851041228,336113.65129924554,6259131.630490887,-115.16336974168523,11,2.720429925229275
359 EDINBURGH ROAD,CASTLECRAG,2068,NSW,Southeast,GANSW704357631,336068.61895859806,6259153.11378299,498.25463614412905,113.02471871446122,336090.7570496707,6259131.6473017745,-44.11758410160379,11,7.250802526842564
361 EDINBURGH ROAD,CASTLECRAG,2068,NSW,Northeast,GANSW704357632,336072.59848676936,6259167.530217719,556.5798364464594,105.37516081634446,336087.6474669403,6259175.724833983,28.569603404425525,9,5.810991997984688
357 EDINBURGH ROAD,CASTLECRAG,2068,NSW,Southeast,GANSW704357630,336064.41191403096,6259140.731137038,551.0735167243774,116.95925804153987,336086.8978945489,6259125.8255375,-33.53976604092185,11,4.090467176896381
337 EDINBURGH ROAD,CASTLECRAG,2068,NSW,Northeast,GANSW704355035,336034.9906903869,6259048.830953327,1175.7035461751232,186.25919652673446,336077.99869016337,6259072.725105921,29.055438235060205,11,13.809717342384067
339 EDINBURGH ROAD,CASTLECRAG,2068,NSW,Northeast,GANSW710647065,336063.4296362788,6259050.305560607,767.7529519436551,167.59874957783921,336077.99869016337,6259072.725105921,56.982691426218196,11,12.077058126802823
304 EDINBURGH ROAD,CASTLECRAG,2068,NSW,West,GANSW718842088,336166.1202014328,6259056.659742832,1191.1381862613305,189.55826307910473,336112.01978680777,6259067.075944787,169.1019360031284,11,7.202463112368796
302 EDINBURGH ROAD,CASTLECRAG,2068,NSW,Northwest,GANSW717993796,336146.2920913368,6259043.917684882,1034.0745871166382,173.55207199869838,336110.338517683,6259060.901658588,154.7145939129732,11,5.589236594135279
300 EDINBURGH ROAD,CASTLECRAG,2068,NSW,Northwest,GANSW704366621,336135.9365004712,6259031.198623882,1041.150829290467,171.9450642877314,336104.4291085868,6259051.913374089,146.6768069036533,11,5.524365995487615
335 EDINBURGH ROAD,CASTLECRAG,2068,NSW,Southeast,GANSW704355034,336024.79874247365,6259037.421900692,1232.753683228876,192.6490620357791,336068.3148483986,6259002.8975136345,-38.42744070057108,11,14.985693517866281
333 EDINBURGH ROAD,CASTLECRAG,2068,NSW,Southeast,GANSW704355033,336028.16920982423,6259015.9587232405,744.5455165344007,128.4877974613942,336059.1664383565,6258991.366441996,-38.42744070086427,11,14.768722249405773
296 EDINBURGH ROAD,CASTLECRAG,2068,NSW,North,GANSW704366618,336119.0253716621,6259004.174445899,1156.9009851303686,181.0228184840605,336118.4327102975,6259007.942375436,98.93887272580496,10,0.0
1A THE TOR WALK,CASTLECRAG,2068,NSW,North,GANSW716946274,336111.6305340484,6258990.202575356,1089.9124605557145,174.0262884891392,336118.1770900648,6259007.902168677,69.7020569416021,10,2.0796654112449824
1 THE TOR WALK,CASTLECRAG,2068,NSW,West,GANSW716946273,336106.37734894286,6258975.893988453,1033.5091780450532,169.56965364397752,336069.4071019503,6258985.55868494,165.34969685798725,27,3.5498730835771157
