address,suburb,postcode,state,orientation
Unknown Address (ID: 0),,,,South
83A SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,South
81 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Southwest
79 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Northeast
106 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Southwest
108 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Southwest
114 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Southwest
77 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Northeast
75 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,East
73 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Northeast
71 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Southeast
112 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Southwest
110 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Southwest
69 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Northwest
67 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Northeast
11 THE LEE,MIDDLE COVE,2068,NSW,Southeast
9 THE LEE,MIDDLE COVE,2068,NSW,Southeast
7 THE LEE,MIDDLE COVE,2068,NSW,Northeast
7 COVELEE CIRCUIT,MIDDLE COVE,2068,NSW,East
9 COVELEE CIRCUIT,MIDDLE COVE,2068,NSW,East
11 COVELEE CIRCUIT,MIDDLE COVE,2068,NSW,East
355 EDINBURGH ROAD,CASTLECRAG,2068,NSW,East
306 EDINBURGH ROAD,CASTLECRAG,2068,NSW,West
308 EDINBURGH ROAD,CASTLECRAG,2068,NSW,Northeast
343 EDINBURGH ROAD,CASTLECRAG,2068,NSW,West
341 EDINBURGH ROAD,CASTLECRAG,2068,NSW,East
339A EDINBURGH ROAD,CASTLECRAG,2068,NSW,East
349 EDINBURGH ROAD,CASTLECRAG,2068,NSW,East
345 EDINBURGH ROAD,CASTLECRAG,2068,NSW,West
351 EDINBURGH ROAD,CASTLECRAG,2068,NSW,East
353 EDINBURGH ROAD,CASTLECRAG,2068,NSW,East
375 EDINBURGH ROAD,CASTLECRAG,2068,NSW,Southwest
373 EDINBURGH ROAD,CASTLECRAG,2068,NSW,South
369 EDINBURGH ROAD,CASTLECRAG,2068,NSW,Southwest
369B EDINBURGH ROAD,CASTLECRAG,2068,NSW,Southwest
359 EDINBURGH ROAD,CASTLECRAG,2068,NSW,Southeast
361 EDINBURGH ROAD,CASTLECRAG,2068,NSW,Northeast
357 EDINBURGH ROAD,CASTLECRAG,2068,NSW,Southeast
337 EDINBURGH ROAD,CASTLECRAG,2068,NSW,Northeast
339 EDINBURGH ROAD,CASTLECRAG,2068,NSW,Northeast
304 EDINBURGH ROAD,CASTLECRAG,2068,NSW,West
302 EDINBURGH ROAD,CASTLECRAG,2068,NSW,Northwest
300 EDINBURGH ROAD,CASTLECRAG,2068,NSW,Northwest
335 EDINBURGH ROAD,CASTLECRAG,2068,NSW,Southeast
333 EDINBURGH ROAD,CASTLECRAG,2068,NSW,Southeast
296 EDINBURGH ROAD,CASTLECRAG,2068,NSW,North
1A THE TOR WALK,CASTLECRAG,2068,NSW,North
1 THE TOR WALK,CASTLECRAG,2068,NSW,West
3 THE TOR WALK,CASTLECRAG,2068,NSW,West
321 EDINBURGH ROAD,CASTLECRAG,2068,NSW,East
325 EDINBURGH ROAD,CASTLECRAG,2068,NSW,Southeast
327 EDINBURGH ROAD,CASTLECRAG,2068,NSW,Southeast
329 EDINBURGH ROAD,CASTLECRAG,2068,NSW,Southeast
363 EDINBURGH ROAD,CASTLECRAG,2068,NSW,Northeast
365 EDINBURGH ROAD,CASTLECRAG,2068,NSW,West
2 THE LEE,MIDDLE COVE,2068,NSW,South
3 COVELEE CIRCUIT,MIDDLE COVE,2068,NSW,South
1 COVELEE CIRCUIT,MIDDLE COVE,2068,NSW,South
159A EASTERN VALLEY WAY,MIDDLE COVE,2068,NSW,South
159 EASTERN VALLEY WAY,MIDDLE COVE,2068,NSW,South
"UNIT 1, 159 EASTERN VALLEY WAY",MIDDLE COVE,2068,NSW,South
161A EASTERN VALLEY WAY,MIDDLE COVE,2068,NSW,Southwest
"UNIT 1, 161 EASTERN VALLEY WAY",MIDDLE COVE,2068,NSW,Southwest
161B EASTERN VALLEY WAY,MIDDLE COVE,2068,NSW,Southwest
161 EASTERN VALLEY WAY,MIDDLE COVE,2068,NSW,Southwest
1 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,South
3 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,South
5 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,South
155 EASTERN VALLEY WAY,CASTLECRAG,2068,NSW,South
157 EASTERN VALLEY WAY,CASTLECRAG,2068,NSW,South
153 EASTERN VALLEY WAY,CASTLECRAG,2068,NSW,South
6 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,North
4 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,North
