address,suburb,postcode,state,orientation
Unknown Address (ID: 0),,,,South
83A SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,South
81 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Southwest
79 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Northeast
106 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Southwest
108 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Southwest
114 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Southwest
77 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Northeast
75 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,East
73 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Northeast
71 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Southeast
112 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Southwest
110 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Southwest
69 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Northwest
67 SUGARLOAF CRESCENT,CASTLECRAG,2068,NSW,Northeast
11 THE LEE,MIDDLE COVE,2068,NSW,Southeast
9 THE LEE,MIDDLE COVE,2068,NSW,Southeast
7 THE LEE,MIDDLE COVE,2068,NSW,Northeast
7 COVELEE CIRCUIT,MIDDLE COVE,2068,NSW,East
9 COVELEE CIRCUIT,MIDDLE COVE,2068,NSW,East
